Fecha,i,j,Ng,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,H,S,L
2020-04-03,265,387,1,1586,1663,2216,1488,1395,1188,1213,1195,1184,1956,1250,1243,3733.9744444444445,1965.4430000000002,1852.0
2020-04-03,268,395,1,1623,1614,2207,1524,1473,1226,1241,1215,1207,1900,1284,1295,3552.952777777778,1830.6080000000002,1865.5
2020-04-03,271,390,1,1444,1637,2211,1434,1335,1159,1174,1182,1128,1284,1176,1179,3768.768888888889,2131.6870000000004,1822.5000000000002
2020-04-03,272,396,1,1545,1629,2231,1459,1358,1180,1201,1165,1174,1596,1217,1206,3700.345555555555,2092.141,1845.0
2020-04-03,273,386,1,1434,1593,2179,1388,1295,1144,1164,1134,1134,1204,1160,1145,3765.276111111111,2217.55,1783.5
2020-04-03,274,415,1,1563,1486,2118,1540,1481,1173,1198,1204,1163,1610,1216,1194,3190.9283333333333,1753.607,1802.0
2020-04-03,275,380,1,1415,1608,2190,1388,1287,1128,1133,1145,1098,1157,1139,1127,3790.5236111111117,2241.476,1789.0
2020-04-03,277,387,1,1420,1597,2183,1387,1306,1142,1162,1139,1123,1192,1150,1142,3773.0319444444444,2229.692,1785.0000000000002
2020-04-03,277,393,1,1456,1597,2198,1404,1305,1144,1166,1139,1143,1345,1158,1156,3738.4550000000004,2204.331,1801.0000000000002
2020-04-03,277,410,1,1478,1536,2100,1377,1294,1148,1147,1161,1118,1555,1181,1171,3699.8616666666667,2079.379,1738.5000000000002
2020-04-03,277,423,1,1461,1534,2133,1372,1316,1161,1159,1151,1140,1321,1162,1155,3688.1297222222224,2171.1839999999997,1752.4999999999998
2020-04-03,281,417,1,1346,1508,2121,1357,1284,1137,1146,1125,1113,1190,1146,1146,3662.7400000000002,2196.665,1739.0
2020-04-03,282,390,1,1394,1542,2152,1392,1301,1137,1146,1141,1102,1192,1146,1131,3662.2808333333332,2144.4700000000003,1772.0
2020-04-03,283,383,1,1386,1523,2137,1373,1292,1122,1136,1126,1101,1142,1134,1120,3660.5583333333334,2176.6380000000004,1755.0
2020-04-03,283,427,1,1389,1540,2144,1382,1277,1146,1147,1139,1117,1196,1156,1145,3678.9150000000004,2161.089,1763.0
2020-04-03,284,408,1,1369,1440,2077,1324,1270,1128,1135,1113,1123,1334,1154,1157,3590.084166666667,2214.0550000000003,1700.5
2020-04-03,285,421,1,1361,1490,2110,1350,1285,1138,1148,1126,1115,1174,1149,1128,3640.3508333333334,2196.5319999999997,1730.0
2020-04-03,287,384,1,1373,1514,2142,1375,1278,1106,1125,1119,1100,1142,1120,1110,3635.375833333333,2180.8360000000002,1758.5
2020-04-03,288,391,1,1379,1553,2170,1384,1278,1123,1125,1103,1083,1180,1125,1114,3691.6877777777777,2211.593,1777.0
2020-04-03,290,412,1,1344,1475,2063,1326,1248,1110,1119,1104,1109,1169,1119,1123,3670.285,2174.683,1694.5
2020-04-03,290,421,1,1358,1517,2083,1361,1278,1134,1128,1127,1112,1154,1138,1129,3693.4441666666667,2096.3999999999996,1722.0
2020-04-03,291,398,1,1374,1491,2079,1318,1287,1134,1147,1121,1132,1273,1152,1161,3712.2208333333333,2240.212,1698.5
2020-04-03,291,406,1,1357,1453,2035,1328,1257,1115,1112,1088,1093,1244,1128,1115,3628.005555555556,2102.29,1681.5000000000002
2020-04-03,292,392,1,1365,1527,2137,1353,1261,1109,1110,1119,1078,1148,1117,1109,3703.231388888889,2246.4179999999997,1745.0
2020-04-03,293,385,1,1371,1554,2125,1341,1262,1092,1112,1090,1078,1120,1113,1100,3786.1394444444445,2261.973,1732.9999999999998
2020-04-03,295,419,1,1360,1501,2081,1341,1258,1110,1129,1124,1088,1142,1119,1112,3693.6936111111113,2162.478,1711.0
2020-04-03,297,388,1,1365,1518,2128,1327,1244,1097,1106,1093,1090,1124,1101,1099,3730.7533333333336,2318.379,1727.4999999999998
2020-04-03,298,409,1,1351,1463,2100,1317,1248,1095,1110,1093,1087,1125,1100,1097,3644.103888888889,2291.4840000000004,1708.5
2020-04-03,299,394,1,1358,1509,2095,1328,1251,1096,1104,1117,1075,1133,1099,1109,3726.640555555556,2240.725,1711.4999999999998
2020-04-03,299,401,1,1342,1477,2113,1324,1260,1096,1108,1097,1087,1136,1108,1108,3656.5272222222225,2295.607,1718.4999999999998
2020-04-03,267,358,2,1916,2096,2640,1982,1792,1218,1224,1226,1149,1555,1189,1174,3622.0872222222224,1423.626,2311.0
2020-04-03,275,355,2,1905,2042,2623,1917,1758,1198,1212,1155,1135,1212,1143,1132,3628.423055555556,1555.066,2270.0
2020-04-03,278,458,2,1930,2121,2708,2185,2050,1324,1350,1322,1202,1941,1289,1250,3151.6183333333333,1215.573,2414.5
2020-04-03,282,351,2,1827,1791,2419,1634,1592,1173,1175,1133,1117,1187,1126,1116,3666.666666666667,1936.837,2026.5
2020-04-03,286,454,2,1658,1856,2448,1682,1507,1159,1181,1151,1139,1220,1164,1168,3711.9233333333336,1854.722,2065.0
2020-04-03,292,347,2,2023,2261,2656,1933,1702,1230,1248,1186,1151,1299,1126,1111,4089.4422222222224,1575.507,2294.5
2020-04-03,297,459,2,1752,2059,2610,1842,1633,1161,1178,1171,1132,1195,1160,1153,3804.253333333334,1725.067,2226.0
2020-04-03,298,354,2,1607,1807,2415,1595,1469,1100,1120,1099,1072,1102,1092,1083,3764.227777777778,2044.888,2005.0
2020-04-03,305,355,2,1555,1815,2404,1582,1438,1098,1116,1071,1066,1092,1081,1080,3805.758333333333,2062.218,1993.0
2020-04-03,306,458,2,1759,1948,2557,1805,1586,1151,1160,1155,1116,1184,1138,1132,3650.2658333333334,1723.9799999999998,2181.0
2020-04-03,307,349,2,1861,2002,2579,1896,1741,1173,1178,1133,1100,1135,1106,1082,3591.996111111111,1526.257,2237.5
2020-04-03,309,353,2,1618,1802,2467,1620,1483,1106,1117,1080,1068,1100,1093,1077,3691.46,2072.425,2043.4999999999998
2020-04-03,313,346,2,2003,2077,2647,1981,1806,1185,1180,1146,1100,1167,1096,1076,3573.5736111111114,1439.067,2314.0
2020-04-03,314,453,2,1670,1902,2489,1671,1499,1122,1131,1130,1096,1167,1132,1112,3803.993611111111,1966.346,2080.0
2020-04-03,315,354,2,1590,1812,2424,1597,1454,1100,1101,1085,1080,1085,1085,1061,3766.626388888889,2056.7019999999998,2010.5
