Fecha,i,j,Ng,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12
2020-04-03,265,387,1,521,689,1078,436,415,217,240,212,208,926,300,292
2020-04-03,268,395,1,561,644,1070,468,485,250,264,229,228,880,328,335
2020-04-03,271,390,1,371,665,1074,389,362,191,206,201,160,377,237,240
2020-04-03,272,396,1,478,658,1092,411,382,210,229,186,200,632,272,262
2020-04-03,273,386,1,361,625,1044,348,326,178,197,160,165,312,224,212
2020-04-03,274,415,1,497,527,989,482,492,204,227,219,190,643,271,252
2020-04-03,275,380,1,341,638,1054,348,319,164,170,169,134,273,206,197
2020-04-03,277,387,1,346,628,1048,347,336,176,195,164,155,302,215,209
2020-04-03,277,393,1,384,628,1062,362,335,178,199,164,173,427,222,221
2020-04-03,277,410,1,407,573,972,339,325,182,182,183,151,598,241,233
2020-04-03,277,423,1,389,571,1002,334,345,193,193,174,170,407,225,220
2020-04-03,281,417,1,268,547,991,321,316,172,181,152,147,300,212,213
2020-04-03,282,374,1,316,561,999,308,293,141,162,127,126,248,183,180
2020-04-03,282,390,1,319,578,1020,352,331,172,181,166,137,302,212,200
2020-04-03,283,383,1,310,561,1006,335,323,159,173,153,136,261,202,191
2020-04-03,283,427,1,313,576,1012,343,310,180,182,164,150,305,220,212
2020-04-03,284,408,1,292,485,951,292,304,164,172,142,155,418,219,222
2020-04-03,285,421,1,284,531,981,315,317,173,183,153,148,287,214,198
2020-04-03,287,384,1,296,553,1011,337,311,145,163,147,135,261,190,183
2020-04-03,288,391,1,303,588,1036,345,311,160,163,133,121,292,194,186
2020-04-03,290,412,1,266,517,938,294,284,148,158,134,143,283,189,194
2020-04-03,290,421,1,280,555,957,325,311,169,166,154,146,271,205,199
2020-04-03,291,398,1,297,532,953,287,319,169,182,149,163,368,217,225
2020-04-03,291,406,1,279,497,913,296,292,153,152,121,129,344,197,187
2020-04-03,292,392,1,288,565,1006,318,296,147,150,147,116,266,187,182
2020-04-03,293,385,1,294,589,995,307,297,132,152,122,116,243,184,175
2020-04-03,295,419,1,283,541,955,307,293,148,167,151,125,261,189,185
2020-04-03,297,388,1,288,556,998,295,281,137,147,125,127,246,174,174
2020-04-03,297,419,1,285,557,956,309,284,144,161,154,136,259,186,183
2020-04-03,298,409,1,273,506,972,286,284,135,150,125,124,247,173,172
2020-04-03,299,394,1,280,548,968,296,287,136,145,145,114,254,172,182
2020-04-03,299,401,1,264,519,984,292,295,136,148,128,124,256,180,181
2020-04-03,299,435,1,312,579,981,325,302,153,157,156,137,282,198,198
2020-04-03,302,385,1,280,533,980,288,274,129,149,124,104,235,167,165
2020-04-03,314,390,1,282,578,1016,289,285,129,146,123,112,219,171,166
2020-04-03,314,412,1,295,606,1054,307,282,130,135,114,102,224,160,155
2020-04-03,267,358,2,870,1084,1466,870,770,243,249,238,178,598,248,236
2020-04-03,275,355,2,858,1034,1450,813,739,226,239,178,166,318,209,201
2020-04-03,278,458,2,885,1106,1528,1048,1000,337,359,320,224,914,333,298
2020-04-03,282,351,2,776,805,1264,564,591,204,207,159,150,298,195,188
2020-04-03,286,454,2,598,865,1290,606,515,191,212,174,169,325,227,231
2020-04-03,292,347,2,983,1234,1480,827,689,254,270,204,180,389,195,184
2020-04-03,297,459,2,697,1050,1438,747,628,193,209,191,163,304,224,218
2020-04-03,298,354,2,544,820,1260,530,481,139,159,130,111,228,166,161
2020-04-03,305,355,2,489,827,1250,519,454,138,155,106,106,220,157,158
2020-04-03,306,458,2,704,949,1390,714,586,184,194,178,149,295,205,201
2020-04-03,307,349,2,812,998,1410,794,724,204,209,159,135,255,178,160
2020-04-03,309,353,2,555,815,1308,552,494,145,156,114,108,227,167,156
2020-04-03,313,346,2,962,1066,1472,869,782,214,211,170,135,281,170,155
2020-04-03,314,453,2,610,907,1328,597,508,159,168,156,132,281,200,185
2020-04-03,315,354,2,526,825,1268,532,468,139,142,118,118,214,160,143
2020-04-03,318,348,2,873,1034,1422,852,758,215,221,207,138,251,162,159
2020-04-03,323,447,2,631,971,1334,610,527,172,192,161,140,263,186,187
2020-04-03,324,352,2,930,1230,1498,888,772,225,220,192,129,257,154,146
2020-04-03,332,354,2,1166,1378,1622,1230,1087,378,389,320,190,249,143,133
2020-04-03,332,440,2,565,794,1224,513,458,141,159,146,120,225,170,159
2020-04-03,338,435,2,559,857,1260,554,469,144,144,128,118,200,154,146
2020-04-03,341,366,2,932,1166,1454,969,863,243,264,195,132,208,137,130
2020-04-03,341,402,2,575,875,1274,554,470,127,133,108,87,205,143,140
2020-04-03,341,410,2,599,940,1374,604,521,136,145,129,101,213,144,141
2020-04-03,342,425,2,531,835,1274,517,458,141,143,137,102,195,147,135
2020-04-03,344,391,2,580,871,1262,579,492,129,136,122,98,189,133,131
2020-04-03,344,417,2,694,959,1396,637,550,137,159,141,99,210,141,139
2020-04-03,346,373,2,896,1136,1498,985,887,237,252,204,126,218,141,136
2020-04-03,349,424,2,931,1158,1470,987,932,276,279,212,143,255,139,140
2020-04-03,351,379,2,945,1190,1522,980,860,238,247,197,132,213,139,133
2020-04-03,105,666,3,1248,1444,1884,2404,2528,2541,2610,2668,2677,2673,3408,3148
2020-04-03,107,647,3,1275,1456,1904,2478,2618,2678,2714,2744,2786,2773,3542,3246
2020-04-03,111,627,3,1297,1470,1944,2530,2709,2753,2849,2872,2901,2936,3703,3367
2020-04-03,119,639,3,1267,1456,1874,2414,2580,2633,2710,2718,2771,2776,3599,3284
2020-04-03,121,657,3,1263,1490,1930,2462,2566,2605,2675,2758,2710,2687,3504,3227
2020-04-03,124,619,3,1261,1458,1918,2450,2600,2639,2712,2802,2830,2844,3754,3486
2020-04-03,135,630,3,1245,1528,1936,2524,2650,2688,2762,2898,2869,2791,3733,3422
2020-04-03,138,607,3,1283,1476,1936,2502,2651,2675,2750,2820,2875,2881,3841,3535
2020-04-03,138,648,3,1289,1448,1854,2354,2529,2558,2616,2622,2699,2733,3536,3233
2020-04-03,152,590,3,1285,1570,2048,2578,2690,2738,2819,2898,2908,2872,3811,3455
2020-04-03,152,618,3,1287,1472,1888,2464,2616,2647,2746,2806,2886,2875,3842,3556
2020-04-03,152,642,3,1232,1412,1828,2322,2445,2479,2553,2626,2629,2673,3529,3254
2020-04-03,165,605,3,1311,1526,1932,2430,2584,2608,2703,2750,2779,2798,3688,3354
2020-04-03,168,627,3,1297,1482,1870,2366,2525,2526,2632,2722,2765,2809,3693,3430
2020-04-03,169,568,3,1294,1640,2092,2614,2743,2753,2858,2932,2917,2794,3709,3373
2020-04-03,175,612,3,1332,1570,1968,2460,2600,2624,2703,2752,2800,2802,3654,3360
2020-04-03,181,585,3,1281,1498,1908,2368,2543,2566,2647,2658,2735,2730,3586,3287
2020-04-03,186,568,3,1334,1548,2002,2508,2642,2652,2746,2872,2816,2796,3643,3301
2020-04-03,164,876,4,3307,3676,4184,4528,4654,4552,4467,4412,4388,5396,4577,3953
2020-04-03,167,863,4,3428,4030,4480,4656,4703,4588,4482,4488,4428,5510,4684,4050
2020-04-03,168,802,4,3608,3736,4176,4472,4693,4582,4513,4376,4427,5620,4732,4073
2020-04-03,174,791,4,3519,3986,4484,4676,4802,4659,4577,4592,4508,5469,4729,4128
2020-04-03,174,812,4,3887,4384,4732,4864,4922,4780,4718,4804,4628,5765,5016,4403
2020-04-03,176,935,4,3593,3980,4376,4640,4797,4673,4583,4492,4512,5517,4713,4085
2020-04-03,177,846,4,3909,4520,5020,4932,5025,4867,4769,4740,4747,5778,5134,4482
2020-04-03,177,943,4,3737,4082,4488,4716,4833,4702,4617,4568,4540,5629,4797,4192
2020-04-03,181,829,4,3906,4128,4488,4616,4759,4633,4554,4588,4462,5709,4845,4247
2020-04-03,183,928,4,3750,4100,4464,4688,4879,4753,4681,4528,4588,5594,4823,4184
2020-04-03,185,950,4,3726,4008,4424,4716,4821,4703,4625,4616,4522,5687,4801,4141
2020-04-03,187,822,4,3733,3926,4396,4620,4718,4591,4508,4476,4429,5596,4631,4015
2020-04-03,188,789,4,3662,4176,4640,4888,4968,4865,4774,4776,4685,5673,4931,4246
2020-04-03,189,809,4,3783,3934,4336,4400,4604,4445,4399,4344,4321,5673,4663,4050
2020-04-03,190,911,4,3546,3894,4324,4564,4671,4526,4447,4432,4380,5426,4611,4010
2020-04-03,190,939,4,3763,3920,4344,4584,4781,4636,4542,4464,4466,5667,4762,4097
2020-04-03,191,899,4,3498,3670,4086,4332,4536,4412,4346,4256,4240,5438,4527,3935
2020-04-03,198,799,4,3782,4078,4528,4776,4861,4740,4639,4660,4546,5701,4810,4147
2020-04-03,199,949,4,3779,4070,4516,4812,4938,4803,4687,4648,4626,5737,4855,4195
2020-04-03,200,913,4,3797,4124,4508,4796,4855,4710,4628,4588,4532,5694,4784,4141
2020-04-03,204,899,4,4024,4364,4820,5028,5203,5079,4987,4908,4933,5954,5211,4535
2020-04-03,206,883,4,3802,4204,4620,4832,4902,4764,4679,4676,4573,5771,4788,4141
2020-04-03,207,809,4,3904,4140,4520,4748,4893,4744,4661,4592,4567,5706,4784,4144
2020-04-03,209,790,4,3773,4156,4612,4864,4960,4835,4739,4760,4657,5662,4807,4097
2020-04-03,209,818,4,3834,4012,4460,4664,4829,4724,4631,4544,4538,5690,4784,4115
2020-04-03,212,866,4,3781,4204,4604,4904,5015,4886,4781,4728,4689,5789,4847,4178
2020-04-03,212,944,4,3740,4184,4604,4860,4979,4830,4757,4748,4665,5687,4925,4222
2020-04-03,213,908,4,4030,4408,4796,4988,5089,4940,4845,4844,4734,5906,4954,4279
2020-04-03,215,885,4,3934,4288,4768,5036,5124,4977,4886,4844,4826,5928,4963,4296
2020-04-03,323,713,5,2148,2182,2294,2318,2416,2343,2268,2164,2182,2826,2336,1619
2020-04-03,325,722,5,2175,2272,2408,2426,2479,2379,2318,2278,2224,2851,2379,1709
2020-04-03,333,712,5,2121,2158,2260,2266,2389,2310,2230,2154,2164,2821,2364,1680
2020-04-03,334,694,5,2182,2192,2336,2352,2460,2371,2332,2244,2242,2865,2417,1704
2020-04-03,335,703,5,2153,2298,2378,2382,2464,2337,2288,2242,2203,2850,2397,1652
2020-04-03,342,714,5,2375,2406,2552,2614,2773,2690,2571,2510,2486,3106,2679,1947
2020-04-03,348,681,5,2093,2038,2238,2286,2396,2293,2238,2150,2146,2820,2440,1685
2020-04-03,348,699,5,2167,1984,2128,2200,2332,2239,2186,2096,2112,2904,2483,1769
